,score,comment
0,5,"Produto igual ao anunciado, atende o que promete. Ajuda bastante no desembaraço dos pêlos e deixa um super cheiro no pet."
1,5,O produto funciona bem e desembaraça bastante. O cheiro é uma delicia e vale a pena. Gostei recomendo.
2,5,Muito bom ótimo qualidade deicha os pêlos sedozo sem fala no pefumi q ficar muito bom recomendo.
3,2,"O produto é bem cheiroso, mas não desembaraçou os fios da minha pet não."
4,5,Maravilhoso cheiroso e facil de usar. Recomendo.
5,5,"Melhor ração para cachorro que faz cocô em area de serviço dentro do apt. Testei várias rações, inclusive premier de outros tipos, mas essa realmente é a melhor pra essa situação. Reduz demais o cheiro do cocô. Agora só compro dessa ambientes internos."
6,5,Produto muito bom qualidade boa já faz mais de um ano que dou para minha cachorrinha e ela esta se dando bem.
7,5,"Excelente produto , não deixa cheiro nas fezes do animal, muito bom pra quem mora em ambiente fechado."
8,5,Meus pets amam essa ração. Nunca mudei. Deixa os pêlos super brilhoso e nutre bem meus pets.
9,5,Top minha shi tzu amou come tudinho que limpa o pratinho dela. Então estou satisfeito. Recomendo!.
10,5,"Produto de excelente qualidade, minha pet adora, recomendo pela veterinária. 
Produto nota mil!."
11,5,"Minha capelinha ama de paixão. 
Tem as fezes bem equilibrada sem odor."
12,5,O que dizer? é premier. Maravilhoso! federico adoro frango com salmão.
13,5,Meus pets amam essa ração e ela é muito completa!!.
14,5,"Produto excelente, qualidade de nutrientes e benefícios são ótimos."
15,5,"Ótimo, só  dou essa ração  para meus três  cachorros."
16,5,"Excelente. A ração é top top, pretendo comprar dinovo."
17,5,Excelente grãos pequenos facilita a alimentação dos filhotes.
18,5,Melhor ração sem dúvidas. Sempre compro dessa marca.
19,5,Melhor ração do mercado além de render bastante.
20,5,Minha cachorrinha shit zu amou a ração!.
21,5,Produto de excelente qualidade!! meus pets amam!!.
22,5,"Bom preço, ótima qualidade! meu cãozinho adora!."
23,5,Produto de altíssima qualidade!! meus pets amam!!.
24,5,Muito bom rapida enttega tao de parabens.
25,5,Top meu pug adora essa raçao.
26,5,O produto é de excelente qualidade.
27,5,É o alimento da minha cachorra.
28,5,"Excelente produto, deixa pouquíssimo odor, recomendo."
29,5,"Ótima ração, bom custo benefício."
30,5,Muito bom minha  cachorrinha adoro.
31,5,Excelente!! validade excelente!!.
32,5,Produto excelente.
33,1,A cama é muito pequena para ser tamanh g  meu bulldog de 15kg não deu na cama e eu tinha perguntado se daria para um bulldog.
34,5,A cama é linda bem costurada e super macia. O problema é que para quem tem um shitzu ela é um pouco pequena.
35,4,"Ele é lindinho,mais achei que era maior o tamanho g meu américa não cabe nele direito kkk."
36,5,"Produto de ótima qualidade , me ajudou muito no adestramento do meu cão,  só deixo um alerta para os donos , o choque é bem forte , inicie no número 1 para cachorros de médio porte , como testo td em mim antes de colocar em meus cachorros tomei um susto muito grande em colocar o choque no 12 de cara , o choque no nível 3 para um shitzu é o suficiente pra separar brigas e em hrs de emergência q o cão não te obedece com o modo vibrar no 100."
37,5,"Bom, só que eu acho que tinha que vir com um vídeo explicativo, pois se mal utilizado pode ferir o cachorro, a intensidade de choque no 50 é  muito forte e vai até 100."
38,4,"Funciona bem. O único problema é que ele desliga sozinho para ligar vc aperta o botão que muda a função choque, vibra e apito as vezes muda a função sem intensão."
39,5,Otimo ! agora consigo sair com o cachorro tranquilamente ! outra vida ! e so colocar o shock no minimo possivel e nao usar mais de 10 min ! vai ver uma grande evolução.
40,5,Achei muito bom. Atendeu minhas expectativas. Meu cachorro está parecendo outro depois que comecei a usar a coleira. Produto de boa qualidade. Boa duração da bateria. Bom alcance do controle.
41,2,"Muito ruim, so o choque funciona, o som nao tem a frequencia para incomodar muito menis a vibração funciona, sitema de carregar com um pino horrível, nao vai durar."
42,5,Muito bom a unica observação é a duração curta da bateria da coleira mas funciona perfeitamente com otimos resultados.
43,5,Excelente. Atendeu demais minhas expectativas. Uso somente a vibração e meu cão tem atendido bem os comandos.
44,5,Otima produto. Ja comprei putras e super recomendo. Ja corrigimos varios comportamentos indesejados de varios dogs.
45,5,Excelente resultado. Bastou usar no máximo duas vezes para obter o resultado que queria.
46,2,"Vibração,, som e conexão  fraca. As vezes falha e demora para conectar."
47,4,"É uma coleira que usamos a bastante tempo, e funciona muito bem."
48,5,Muito bom. Atendeu minhas expectativas e está sendo bastante útil.
49,2,"Quebrou em menos de 4 meses. 
Muito fraco. 
Não recomendo."
50,5,"Produto excelente, realmente resolve o problema de disciplina do cachorro."
51,5,"Fácil de utilizar, vale o custo benefício."
52,4,Ótimo produto eficiente atende a expectativas.
53,5,"Otimo produto, recomendo a todos."
54,4,Ótimo aquisição muito bom aprovado.
55,5,Me anudou bastante no adestramento.
56,5,Muito bom!!!!!!!!!!!!!!!!!!!!!!.
57,5,"Ótimo. Esse está sendo o único que tá durando. Todo tipo de brinquedo ela destrói em minutos. Esse tá durando muito. Vou comprar outro, o de 10 cm pra variar."
58,5,"Tenho uma cachorra pequena, que ama comer as coisas. Ela amou o pneu, vai ajudar na ansiedade dela. Ele é grande e o material é otimo."
59,4,"Adorei !!!  meu pitbul devorou ele todo , só durou 2 dias."
60,5,"Ja tive varias, mas essa realmente funciona e a gata nao reclamou!."
61,5,Excelente produto. Já utilizei em meus goldens. Ficou excelente. Recomendo a todos.
62,5,Aforeiiii  minha cachorra parece que veio do banho e tosa.
63,5,Muito bom melhor do que eu esperava.
64,5,Perfeito era o que eu precisava.
65,5,"Muito bom, ele corta bem. Recomendo."
66,5,Ótimo produto recomendo a todos.
67,5,"Funciona bem, gostei qprovado."
68,5,"Produto muito bom, recomendo!!."
69,5,Funciona perfeitamente util mesmo.
70,5,"Otimo produto ,muita qualidade recomendo a todos."
71,5,"Os lacinhos são lindos de ótima qualidade. Eu ameiiii, veio tudo certinho e com certeza vou comprar mais. Super recomendo!."
72,5,Produto maravilhoso muito obrigado pelo carinho gente pode compra sem medo eles ainda manda brinde nota 1000.
73,5,Oiii adorei os lacinhos!!! são lindos bem delicadoos e ainda veio   c brinde lindo!! mto obrigada!!!.
74,5,"Amei todos os laços, um mais lindo que o outro. Comprariam mais 100 se fosse preciso."
75,5,Minha mãe adorou os lacinhos. As cachorras dela ficaram lindas. Logo voltaremos a comprar mais.
76,5,"Maravilhoso!!! além de lindos e fofos, tem uma boa resistência. Super indico!!!."
77,5,Achei muito legal. Ficou perfeita na minha cachorrinha.
78,5,Muito bom e  excelente gosto muito dos lac.
79,5,Lindos os laços e a qualidade muito boa!.
80,5,"Lacinhos lindos, variados e bem feitos."
81,5,"Amei, são lindos e bem feitos."
82,5,Ótimos adorei muito vou compra novamente.
83,5,Top do goiás  gostei do produto.
84,5,"Ótima qualidade, cores variadas, muito bonitos."
85,5,De boa qualidade e acabamento.
86,5,Gostei muito. Muito bonitinhos. Recomendo.
87,5,"Produto conforme explicitado, muito bom."
88,5,Otima qualidade alem de lindos.
89,5,Excelente produto. Comprarei mais.
90,5,"Excelente, super recomendo. O tecido muito bom. A costura bem feita."
91,5,O kit é uma graça e os produtos são ótimos!.
92,5,"Produto em ótimo estado, melhor do que pensei."
93,5,"Linda, bem fofinha, materiais de qualidade."
94,5,"Lindo demais,o tamanho é ótimo."
95,5,"Otimo produto , super recomendo."
96,5,"Material sólido e com um peso interessante (ótimo para o pet não virar). Vem todo montado, então não tem uma abertura que o pet possa aprender a usar para escapar. O único ponto que eu recomendaria era ter um gancho de ""trava"" para quando ele ficar unido quando recolhido. Nada que desabone o produto, pois atendeu super bem a espectativa."
97,4,Muito bom o produto mas minha cachorrinha aprendeu a pular em 1 semana ou menos. Não aconselho para filhotes em treinamento porque minha yorkshire tem 3 meses e pulou a cerca. Precisa pedir mais alta!! no mais o produto é bom!!.
98,5,"Excelente custo benefício!!! ela é bem firme, chega a ser ate um pouco pesadinha de um otimo material e bem mais em conta das que vende em petshop! cheguei a ver uma inferior a essa por 500 reais, compensa muitooo!."
99,5,"Ótima qualidade, o cercadinho já vêm com os fechos e da a possibilidade de colocar em qualquer espaço. Tá super funcionando aqui em casa com meu filhote, não funciona para cães de médio e grande porte."
100,5,"Excelente! resolveu meu problema. Tenho uma cachorrinha idosa, shi-tzu, cega e com problemas de demencia. Precisa ficar protegida e aquecida. O cercadinho é dum tamanho otimo pra caes pequenos e pouco ativos."
101,4,"Achei um pouco frágil, mesmo pra cães de pequeno porte, porém se o cachorro não for muito arteiro, é um ótimo recurso para limita-los quando necessário."
102,5,"Eu amei o produto e a praticidade de já vir montado! dá até pra deixar como um portãozinho na porta de algum lugar, porque ele sobre."
103,3,"Quando comprei, achei que era pintado com esmalte branco, como o que eu já tinha aqui, mas veio sem pintura. Espero que não enferruge."
104,5,"Adorei, achei q era um pouco mais alta,só q deu certo com minha basset. Achei reforçado, ele fechado cadê em qlq lugar."
105,5,"Excelente! de fácil montagem e ótimo material! é leve, não serve para animais grandes, mas funciona muito bem com animais pequenos."
106,5,"Muitoo bom , dá pra fazer vários estilos de cercadinho  , e é ótimo para adestrar os cães de porte pequeno."
107,5,Amei. Gostei ainda mais porque já vem montado e podemos fechar e guardar com muita facilidade. Nota 1000.
108,5,Conforme anunciado. Comprei 4 para cercar uma piscina para proteção do meu cachorro pequeno que está cego.
109,4,"Gostei bastante do produto, acho somente que pra encaixar e desencaixar dá um pouquinho de trabalho."
110,5,"Maravilhoso, facil de montar e desmontar eu levo para todos os lados, mayerial de boa qualidade."
111,5,"Excelente, facil de montar, boa qualidade. Ficou otimo ao redor da arvore de natal."
112,2,Deixou a desejar produto com a altura mta baixa meus cachorros pula o cercado !.
113,4,Preço acessível para a utilização a que se propõe. A articulação ajuda bastante.
114,5,Ótimo! comprei para minhas porquinhas da índia. Para soltar elas no quintal.
115,5,Produto bom fácil de manusear e muito espaço para pet pequeno.
116,5,Recomendo para cães pequenos. Só ele vem fechado sugiro poder abrir.
117,5,"Ele é ótimo, resistente, muito apropriado para animais de porte pequeno."
118,4,"Produto de acordo com. 
O anunciado, atende muito bem."
119,4,"Produto de boa qualidade, atende ao que preciso."
