,score,comment
0,5,"Muito bim, super cheiroso e original."
1,5,"Produto original, muito bom. Amei."
2,4,"Talvez, por ser 200 ml, penso eu, a fixação não ser tão boa quanto aos de 100 e 50 ml que tive."
3,5,"Excelente perfume. Fixação perfeita e a fragrância é maravilhosa. É um clássico, meu preferido!!!."
4,5,"Produto veio de qualidade, meu pai adorou! ótimo presente para os pais."
5,5,"Perfume nota 100o, excelente perfume uso a mais de 20 anos."
6,2,Estou com a impressão que este produto não é original.
7,5,"Produto original!!. 
Muito bom reconendo a todos do ml."
8,5,Excelente perfume. Desde que experimentei não fico sem ele.
9,5,Produto original e tamanho exclusivo e de ótimo preço!.
10,5,"Muito bom , tradicional, chique, discreto, marcante, ótima escolha."
11,5,"Produto maravilhoso, fragrância maravilhosa, excelente fixador, produto original."
12,5,Excelente perfume. Há anos que uso. Continuarei comprando.
13,5,Toop de linha ! recomendo bastante o produto.
14,5,Já conhecia uso muito carolina herrera.
15,5,Ótimo produto. Bom fixador e qualidade.
16,5,"Produto muito bom, recomendo a todos!."
17,5,Produto excelente nada a reclamar.
18,5,Ótimo!!! produto de primeira linha.
19,5,Excelente! produto muito bom! recomendo!.
20,5,Gostei muito. Recomendo a todos.
21,5,Produto 100% original. Tudo perfeito.
22,4,"Bom produto,atende minhas necessidades."
23,5,Ótimo perfume. Considero compartilhável.
24,5,"Excelente, superou minhas expectativas,."
25,5,Excelente produto de qualidade.
26,5,Recomendo!!!! excelente produto.
27,3,"Experimentei e fiquei procurando o café mas muito pouco. Perfume doce realmente, porém de café senti apenas um toque leve que acaba se perdendo no meio das notas doces. O tradicional pra mim, ainda é o melhor da linha."
28,5,"Produto original,a fragrância, fixação e projeção também é muito boa. Só recebo elogios da mulherada quando uso."
29,5,"Gostei muito do perfume, faz 8 anos que uso ele e veio como o de sempre."
30,5,Excelente produto. Original. Lacrado e ainda veio com umas amostras. Muito bom mesmo.
31,5,Muito bom o produto é recomendo a todos os clientes. Top.
32,5,Muito bom !!! apaixonado ?recomendo um perfume casual com cheiro marcante.
33,5,"O produto é muito bom, eu recomendo."
34,5,"Produto com ótima qualidade, ótimo custo benefício."
35,5,Produto bom. Gostei muito muito cheiroso.
36,4,Muito bom  gostei suave cheiro gostoso.
37,5,Ótimo recomendo a todo muito cheiroso.
