,score,comment
0,5,"Ótimo produto. Ele me surpreendeu de forma positiva. Não é um pano, mas tem um visual bacana e cumpre muito bem o papel que é bloquear a luminosidade e ajudar a manter a temperatura interna."
1,5,"Exatamente como o descrito. De material simples mas elegante e cumpre o que promete, bloqueia a luz e ficou um charme no quarto das criancas, preço justo de acordo com o produto ofertado e muito em conta comparado ao que encontramos por ai."
2,1,"Queria dar nenhuma estrela, é  horrível, feio, uma espécie de plástico fulero horroroso, nem arrisco colocar na máquina de lavar. Nunca vi cortina pior, qualidade zero. Só  não devolvo pq não posso ir ao correio."
3,4,"Na minha cortina veio faltando uma das argolas, fizemos um ajuste, a cor é uma pouco mais escura diferente do que imaginamos. Ficou bem ajustada na minha sala, é um bom produto."
4,3,"O produto quando aberto para vedar a entrada do sol, deixa aparecer as emendas do pvc. O voil um pouco torto na costura da barra. Esperava um produto de melhor acabamento."
5,1,O produto tem dimensões menores que as fornecidas nas especificações. A cortina ficou pequena. É necessario colocar o ta anho real do produto para que outras pessoas não sejam enganadas.
6,4,"Gostei do produto, deixa escuro o ambiente e o material aparenta ser de qualidade, apenas o fato da parte em pvc não ser preta tambem não me agradou por completo."
7,4,"Exatamente o que esta na descrição do produto. Ela tem um tecido voil por cima do blackout, que è um tipo de lona fina com bom caimemto e acabamento."
8,1,Produto extremamente fragil e veio com um buraco no blackout. Muito complicado devolver entao doei a um morados de rua paea fazer a tenda. Nao aconselho a compra !!.
9,5,"Amei a cortina. Linda!. 
Amei o blackout ser preso no velcro, facilita na hora de lavar a cortina. Adorei e vou comprar outras cores para minha casa."
10,5,Cortina maravilhosaaaaa comprei 2 unidades branca para a janela do meu quarto e a porta que vai para a varanda do meu quarto! e ficou um charme!.
11,5,"A cortina é bonita, as argolinhas não realmente são fracas, mas não atrapalha nada. Tanto que vou comprar outra novamente. Pq amei."
12,5,"Produto maravilhoso veio tudo certinho, apesar de eu ter comprado errado devolvi e adquiri o certo, pessoal bem atenciosos, super recomendo!."
13,4,Produto bom de qualidade porém a cor não veio de acordo com que mostra na foto veio cor mais escura.
14,5,"Ótimo produto. 
Reduz muito a claridade. 
Coloquei na sala e quanfo eu fecho a cortina o ambiente fica bem escuro."
15,5,"Gostei muito, achei bem real as medidas e a cor bem endentica ao da foto, compre com todas as promessas."
16,1,Ñ gostei nada a ver com a foto postada os ilhoes todos soltos produto caro é de péssima qualidade.
17,5,"Produto exatamente conforme a descrição. Produto muito bom, qualidade do tecido é boa e o blackout é 100% eficiente."
18,5,Amei!! ela é perfeita!! o acabamento é muito bom!! super valeu a compra voltarei a comprar com certeza!!.
19,5,"Ótima cortina , realmente ela é blackout, tira realmente 100% da luz ,atendeu todas as minhas expectativas. Recomendo."
20,5,Amei! era o que precisava para o quarto ficar aconhegante e ter minha noite de sono perfeita!.
21,5,"Custo benefício super compensa , e bonita comprimento bom , pra minha necessidade me atendeu bem , compratei novamente !!!."
22,4,"Adorei realmente cu pré o que promete,  só não gostei napa,  mais em geral aprovado."
23,5,"Produto de boa qualidade, com caimento perfeito em minha sala. Vale a pena a compra!."
24,5,"Produto melhor que o esperado. Acabamento perfeito, veda toda a luz. E é bem bonita."
25,5,"Cortina de ótima qualidade,e atendeu minhas expectativas,comprei para sala e pro quarto!."
26,5,Muito linda. Cor perfeita. Só tem que ter cuidado pq o material é delicado.
27,1,"Não veio no tamanho da descrição. Tecido muito fino, diferente da descrição. Não recomendo."
28,1,Ela é linda. Mas muito frágil. Acabamento mal feito. Não compraria de novo.
29,1,Horrível a cortina é de plástico! e tem um péssimo caimento não índico.
30,4,"É uma cortina boa. Bom acabamento. Recomendo, muito bom custo x benefício."
31,3,"Não achei bonita. Pela foto, eu  esperava mais. Tb veio muito amassada."
32,5,"Produto excelente, exatamente como eu imaginei. Supriu as minhas necessidades e expectativas."
33,5,Produto conforme anunciado. Ótima qualidade e acabamento. Recomendo a compra.
34,4,Qualidade boa. Serviu no tamanho de acordo com o solicitado.
35,5,Recomendo! a cortina é 100% blackout. Produto de ótima qualidade.
36,5,"Excelente, ficou linda na minha sala, amei o produto."
37,5,"Pelo valor o produto é bom, atendeu minha necessidade."
38,5,Produto de boa qualidade. Fiquei satisfeita. Só preciso passar.
39,5,"Produto bom, preço justo. Isola bem a sala."
40,4,O produto é de acordo com a descrição.
41,4,Bonita  só achei que poderia ser mais resistente.
42,5,"Cortina maravilhosa cumpre o que promete. 
Super recomendo."
43,5,Amei a cortina! do jeito que eu queria.
44,5,O produto muito e resolveu o meu problema.
45,5,Muito bom super recomendo produto de otima qualidade.
46,5,"Produto de qualidade, custo e benefício excelente."
47,5,Atendeu o que eu buscava. Cortina blackout.
48,5,Excelente produto além de muito elegante. Recomendo!!.
49,4,"Muito bom,atendeu o que eu esperava."
50,4,Gostei bastante do produto valeu a pena.
51,5,Cortina é linda e de ótima qualidade.
52,1,"Produto de ótima qualidade, vale apena adorei."
53,2,"Muito inferior, produto de baixa qualidade."
54,5,Produto como o esperado tudo ok.
55,5,"Muito bom, gostei demais desse produto."
56,5,"Produto bonito, aspecto leve e funcional."
57,5,"É linda eu adorei, ficou perfeita."
58,5,Bem bonito e atende as expectativas!.
59,5,Maravilhosa do jeito que eu queria.
60,5,Eu amei a cortina!! muito linda.
61,1,Amei a cortina ficou ótima linda.
62,5,Cortina linda e de ótima qualidade.
63,5,"Produto de ótima qualidade,gostei muito."
64,5,Qualidade boa. Ótimo custo benefício.
65,1,Péssima qualidade. Material muito ruim.
66,5,Ótimo produto maravilhoso surper recomendo.
67,5,Ótimo. Produto de ótima qualidade.
68,5,"Perfeito. Muito linda,super indico."
69,5,"Gostei do produto, aprovado recomendo."
70,5,"Ótimo produto , adorei !super recomendo."
71,5,Recomendo. Outras pessas. Muito bom.
72,5,Amei!! ótimo material!!! muito boa !!!.
73,5,Produto de ótima qualidade amei.
74,5,"Adorei, qualidade excelente e lindaaaaa."
75,5,"Excelente!!!. 
Material bom, medidas certinha."
76,5,Ótimo produto. Recomendo a compra.
77,5,Perfeita!!!!  exatamente como especificada !.
78,5,Ótimo superou minhas expectativas.
79,5,Maravilhoso  otimo acabamento perfeito.
80,4,"Gosei, atingiu  minhas expectativas."
81,5,Atendeu minhas expectativas !!! ??.
82,1,"Esse modelo de cadeira não me aguentou. Tenho 1,92m e 98kg. A cadeira não serviu para o que se propôs. Não vi nada de ergonômico nela. O encosto não ofereceu boa sustentação para as minhas costas e, ainda, cedeu com o tempo. Com duas semanas de uso intenso (normal em qualquer escritório), ele quase deitou comigo. Além disso, o mecanismo ""relax"" tem uma folga grande demais na trava. Pedi a troca da cadeira, pensando que era um defeito pontual, mas o problema se repetiu. Não recomendo ela para pessoas grandes."
83,3,"A cadeira é bonita e feira com materiais apropriados, contudo, a ergonomia é prejudicada. O acento é inclinado a frente e não encontrei forma de acertar a inclinação. Ou não tem tem a opção na alavanca ou inexiste o ajuste. Meia hora sentado e precisa levantar, pq as pernas ficam tencionadas. Não recomendo."
84,5,"Boa cadeira. Comprei duas, uso para home office, eu satisfeito. Lógico, se ficar muito tempo sentado da uma incomodada, mas pela saúde não é recomendado mesmo ficar muito temo sentado. Tem uma boa inclinação, veio funcionando perfeitamente. Até o momento, pelo preço esta muito bom."
85,5,A cadeira é de fácil montagem. Depois que vc identifica e posiciona as peças é super de boa concluir. Estou achando bem confortável. O encosto reclinável tem ajudado bastante com o desconforto que estava sentido anteriormente. Recomendo!.
86,3,A cadeira é fácil de montar e o assento é confortável mas achei o encosto da cadeira muito para frente dando a impressão que fico com o corpo inclinado para frente quando sentado.
87,5,"Perfeita. Cadeira confortável, fácil de montar e é bem firme. Trabalho o dia todo nela e não sinto dores. Tenho 1,69 e se ajustou perfeitamente a minha altura. Da para regular."
88,1,"Comprei em fevereiro. Novembro, já está quebrada. A placa de aço que seguro o assento, rajou!. Meu peso está nos 87kg, e também não passo balançando. 
Não recomendo. Dinheiro jogado fora!."
89,5,"Ótimo produto. A montagem  deu um pouco de trabalho (uma das rodinhas não queira encaixar na perna da cadeira, então tivemos que usar um pouco de força, mas deu tudo certo)."
90,3,"Cadeira simples, sem quase nenhum recurso, mas com razoável conforto. Acho que é o melhor custo benefício que se pode encontrar no mercado, já que as cadeiras estão muito caras."
91,3,"Comprei a cadeira devido a pandemia para ter um conforto melhor, e devido as lojas estarem fechadas, mas achei a cadeira um pouco frágil, se pudesse ter escolha, não compraria."
92,5,"Boa, bonita e barata. Comprei com a finalidade de melhorar a postura, pois com a idade o sofá não oferece + a resistência necessária para manter minha coluna firme."
93,5,Eu nunca pensei que fosse amar tanto algo como essa cadeira. Excepcional. O custo beenfico é excelente. A qualidade é otima e compraria inumeras vezes. Adorei mesmo.
94,5,"Excelente custo benefício, minhas costas agradecem. Nenhum problema até então, uns 20 dias de uso, tem dias que passo mais de dez horas estudando, e tudo ok."
95,5,"Bem confortável e o material é bom, essa parte vermelha é ajustável e sai para lavar. Esse assento esquenta um pouco, então coloco uma toalha."
96,5,"De otima qualidade comprei pra usar na costura estava em duvida , mas deu certinho então indico para as costureiras  as costas encaixam certinho bem confortável."
97,5,O produto é bom demais. Além de lindo é muito confortável! compramos para minha filha notamos que ela se motiva ainda mais a estudar.
98,1,"A cadeira não durou muito, os pés entortaram com uma menina de 57 kg, portanto, não adianta ser bonita e confortável se não durar."
99,4,"O produto é muito bom, luxuosa e confortável. Pena que veio faltando uma peça (a tampa de encaixe de um dos braços)."
100,4,Ótimo custo benefício! ela só nao tem regulagem de altura do braço porém nao é algo que afete o meu uso diário!.
101,4,"Gostei bastante, é bem confortável, só me incomoda um pouco o barulho que faz quando me encosto. Mas fora isso, tudo certo."
102,2,"Cadeira confortavel, mas faz um barulho insuportavel na base. Qualquer movimento que faça, ela da um barulho de rangido, parece cadeira velha."
103,4,"Cadeira de fácil montagem, de boa qualidade. Esperava que o encosto fosse mais reforçado, mas no geral um bom produto."
104,1,Comprei há seis meses e já estou para jogar fora. O encosto não é firme e agora está todo rebaixado.
105,5,"É confortável, a montagem é simples e a almofadinha vermelha nossa pensei que não fosse usar mas é muito confortável."
106,4,"O custo benefício é bom, funciona ok. 
Ajuste de lombar é basico, apenas essa almofada mas é melhor que nada."
107,4,"Fácil de montar, confortável,  mas veio com uns pingos de tinta, na parte metálica,  mas tirando isso, é boa."
108,2,Bem razoável. Pouco tempo de uso já faz barulho demais. Tá cedendo encosto. Não compraria de novo não.
109,5,Produto excelente qualidade do jeito que estava querendo comprar para o meu conforto em minha casa para trabalhar.
110,4,"Como tenho 1,70m, o acento é longo, forçando minha coxa em baixo, junto ao joelho."
111,4,Bom produto! a almofada da lombar poderia ser uma pouco mais cheia! mas excelente custo beneficio!.
112,3,"É um bom produto. Bom custo benefício. Boa mas sem sofisticação, indicaria a um amigo."
113,4,"Achei bom o custo benefício, ela é leve, confortável e fácil de montar."
114,4,"Parece ser bom, o tempo dirá. 
É bem acabada e tem boa anatomia."
115,4,"Muito bom produto! cadeira bonita, bons rodízios, fácil montagem e aparentemente forte."
116,5,"Excelente! o produto é muito bom, extremamente confortável, e de fácil montagem!."
117,3,Material parece ser resistente e no uso diário da conta do recado.
118,5,"Atendeu minhas expectativas, uso diáriamente , e não tenho o que reclamar."
119,3,Mesh do encosto cede muito e não da o suporte necessario.
120,4,"A cadeira é confortável, porém o material não parece ser durável."
121,5,"Gostei muito da cadeira. Resistente e bom acabamento, fácil de montar."
122,5,"Muito bom , recomendo pela atenção e agilidade em postar o produto."
123,5,"Excelente , minha filha amou este presente que dei a ela."
124,4,"Cadeira confortável, larga, e com montagem facil. Bom custo/benefício."
125,5,Muito boa amei!! se eu precisar demas comprarei sem dúvidas.
126,5,Produto lindo e perfeito. Minha mulher amou o presente.
127,5,Excelente. Muito confortável. Cumpre todos os itens da descrição.
128,5,Muito boa a cadeira. Gostei muito. Excelente custo benefício.
129,5,Produto de qualidade. Otimo custo benefício. Comprem sem medo.
130,3,Qualidade dos materiais muito boa mas conforto medio.
131,5,"Excelente acabamento e funcionalidade ,fácil de montar recomendo."
132,5,Muito bonita e confortável. Espero que seja durável.
133,5,Ótima cadeira! maior do que eu esperava. Linda!.
134,5,"Ótimo produto. 
Bonito e confortável. 
Montagem fácil. 
Recomendo."
135,5,Produto super confortável minha sobrinha tá adorando recomendo.
136,5,"Amei, meu marido ficou super confortável na cadeira."
137,5,Dadeira confortável e de ótima qualidade e design!.
138,4,"Recebemos o produto!. 
Tudo dentro da nossa expectativa!."
139,5,"Cadeira muito confortável e fácil de montar, recomendo!."
140,5,"Cadeira excelente super confortavel, montagem super facil."
141,5,Ótima e super confortável! vale a pena.
142,5,"Confortável. Bonita boa regulagem, fácil de montar."
143,5,"Ameei super confortável, superou as expectativas."
144,5,Excelente produto. Bom custo x benefício.
145,5,Confortável era o que nos esperávamos.
146,4,"Boa qualidade, mas um pouco barulhento."
147,5,"Cadeira  excelente. 
Leve, forte e bonita."
148,4,Simples de montar e bem confortável!.
149,5,"Bonita, confortável e fácil de montar."
150,5,Produto bonito e bem acabado. Satisfeito!.
151,5,"Muito linda, produto de qualidade."
152,5,Fácil montagem e confortável. Recomendo.
153,5,Otima qualidade adorei  e confortável.
154,5,"Ótimo produto, cadeira hiper confortável."
155,5,Excelente!!!! perfeita!!! muito  confortável!!.
