,score,comment
0,5,"Produto muito bom, resistente e fácil de manipular, além de ser extremamente leve. Dá uma segurança muito boa na hora de colocar na cama, ou sofá e não fica tremendo e nem balançando. Suporta muito bem o peso do notebook e das mãos, ao digitar."
1,3,"Produto interessante, estou com ele somente por um dia então não cheguei a utiliza-lo em situações muito específicas, como deitado por exemplo. Deixando de lado o ""mousepad"" que balança caso seja aplicado um pouco de força (parecido com chapas finas de metais, como a de um gabinete), o produto é bem construido. No quesito de realmente uso prático, eu observo algumas limitações, é relativamente difícil colocá-lo em uma posição em que o notebook fique estável, quando digo estável é o fato de ele ficar realmente parado, já que ele, devido ao peso, capota para frente ou trás, (utilizei-o em um sofá e em uma cama), percebo que se houvesse mais uma barrinha de ajuste para as pernas as coisas seriam diferentes (acredito que possibilitaria ficar em pé?). Sim, em posições mais baixas ele é mais estável, mas é so inclinar um pouco para ganhar uma altura que ele já cai, caso fosse uma mesinha com 4 pés tenho certeza que seria um produto perfeito. De modo geral ele cumpre sua função, mas é muito incômodo ter que ""tomar cuidado"" com o notebook para não capotar, mas sem dúvida é uma escolha interessante, já que se você não se importar pode colocad um travesseiro embaixo dele para ganhar estabilidade. 3 estrelas, mas se houvesse o mesmo produto com um mousepad mais firme e 4 pés com 3 ""barrinhas de mexer"" como esta, eu certamente compraria."
2,2,"Decepcionou, existe um erro no projeto que nao da estabilidade na digitaçao do note, da metade pra cima da chapa, exatamente onde o teclado fica localizado. Se a chapa fosse fixada em ambos os lados resolveria esse problema, talvez. Nao pois as articulaçoes tem uma folga que contribui para a falta de estabilidade. Ou melhor se o projeto permitisse usar o outro lado a estabilidade seria maior, contudo nao é possivel utilizar em funçao da solda e falta de apoio, risca o note. O suporte do mouse da pouca amplitude e nao da firmeza a força da mao, é preciso ter uma mao de pluma para usa-lo, se fosse 7 cm maior em ambos os lado seria perfeito. Oi melhor basta aumentar a area da chapa que suporta o note. É otimo para leitura de livros e para apenas assistir videos no note, só por isso vou fiquei com ele, ajuda muito na ergonomia, o jeito é arrumar um teclado wifi e deixar o note no suporte. Esperava mais em funçao do preço e da avaliaçao. É facil de manusear e leve pra para carregar."
3,5,"Produto excelente! cumpre 99% do que foi anunciado. Eu tirei 1% por causa da prateleira do mouse, que na minha opinião não serve pra nada. Mas o suporte em si dispensa o uso dessa prateleira, principalmente pra quem as vezes quer estudar deitado, ou quase, deitado, você configura o suporte à sua maneira, ao seu tamanho e ele fica! esqueça os malabarismos pra ficar segurando o laptop, não fica mais esquentando a perna, e ainda melhora a durabilidade do seu aparelho, pois não fica obstruindo a entrada de ar frio, que ocorre por baixo do equipamento, inclusive o suporte vem com uns furos para esse fim. A tampa principal é feita de aço, as pernas de alumínio pintado, as juntas são de plástico, com indicações dos ângulos, pra evitar que os lados fiquem desproporcionais. Muito fácil de manusear e atende perfeitamente. 
Uma observação: o tamanho máximo que ela suporta, na minha opinião, é até 15,4 polegadas, porque se for maior vai ficar pra fora da tampa alguns milímetros. 
Eu recomendo o produto."
4,3,"Comprei esse produto para dar apoio enquanto uso ele na cama e sofá. Assisti diversas resenhas sobre ele antes de tomar a decisão de comprar. Já esperava que o suporte do mouse fosse delicado pois havia visto vários comentários sobre isso. O que não esperava era que para digitar nele o laptop balançaria tanto. Se você digita rápido vai ficar incomodado com o balanço que o notebook faz enquanto digita. Isso não fará o aparelho cair, só é profundamente incômodo. Pensei seriamente em devolver como ainda está dentro da devolução gratuita, mas gostei muito da estabilidade que a base tem na cama. Consigo levantar sem o notebook virar e gostei dele para assistir vídeos. Para digitar vou usar um teclado externo para não ter que lidar com o balanço incômodo. Mas achei importante mencionar isso pois não tinha visto ninguém comentando sobre esse aspecto e é algo que realmente incomoda se você for digitar por algum tempo (nem precisa ser tanto) o teclado."
5,4,"Pra macbook pro ficou até que conveniente. Apesar de eu usar capa protetora no mac, consigo inclinar bem de forma a ter ótimos ângulos tanto quando estou deitado ou sentado na cama. 
Claro que a estabilidade depende da cama, e como a minha é um pouco firme eu achei interessante o resultado. Tem partes plásticas e que imaginei por outros comentários que seria um pouco frágil, porém, não é tão frágil assim, a parte que você coloca o notebook e metálica é um pouco maior que um notebook de 15 polegadas e ainda não testei o suporte que coloca o mouse. Em resumo atende bem e ajuda evitarcomentários que seria um pouco frágil, porém, não é tão frágil assim, a parte que você coloca o notebook e metálica é um pouco maior que um notebook de 15 polegadas e ainda não testei o suporte que coloca o mouse. Em resumo atende bem e ajuda evitar contato direto do note quente com as pernas."
6,1,"Na descrição diz: tamanho máximo suportado: 17. 3. O que é uma mentira! comprei o novo nitro 5 de 17,3 e não fica no espaço de alumínio. Para usar, você tem que apoiá-lo nos encaixes plástico que prende a base de alumino, o que o deixa sem firmeza. O mousepad que o acompanha é de plástico,não me passou segurança, as pernas já sabia que eram de plástico, passa uma sensação que à qualquer momento vai quebrar. Pelo preço já era de se esperar que a qualidade do produto não era lá essas coisas. Se você preza por qualidade e investiu em um notebook intermediário como o meu, 6. 999 ou que vai comprar um de alta qualidade e desempenho de 17 mil ou mais, não recomendo, vai jogar dinheiro fora, porque é um produto para um notebook de entrada e para quem busca economia e de 15 polegadas no máximo. Dei o meu para minha sobrinha, ela achou o máximo."
7,4,"O produto em si é bem prático, mas tem algumas coisas que é bom saber antes de comprar, o suporte do mouse como é feito de plástico ele não é tão firme, pra mim que trabalho bastante com mouse fiquei um pouco incomodada porem ele é bem util, e tbm reparei que so é possível coloca-lo do lado direito, ou seja, canhotos ou nao usam o mouse ou usa do lado destro. Eu tbm pensei que fosse todo de alumínio mas somente a parte retangular é, o resto é de plástico, deixando assim o produto mais leve, o bom é que é facil de regular e leva-lo para qualquer lugar, o ruim é que as vezes da sensação que o produto nao esta estável na cama. Tirando isso o suporte atente minhas necessidades e alem do notebook é otimo para desenhar, funciona muito bem na mesa tbm ou no sofa."
8,4,"As pernas são feitas de alumínio e as juntas de plástico, que aparenta resistência. A mesinha é feita do mesmo material de lateral de gabinete de pc. A resistência é suficiente para suportar um notebook de 15. 6 polegadas mais o repouso das mãos. A estrutura balança um pouco com o movimento do peso, mas mantém o equilíbrio e a firmeza necessária para o uso sem preocupação. Permite vários ajuste de modo a possibilitar a melhor posição de conforto ao usuário. 
É um produto simples que realmente te dará conforto para usar notebook , livros ou tablets. Principalmente se for usar no sofá , cama , poltronas e etc. 
Espero que o meu suporte dure muito tempo, pois já não consigo mais viver sem ele."
9,5,"Prático, leve, funcional me ajudou muito, pois usava um apoio sobre as pernas o que cansava e ficava super quente, agora não sinto o calor do notebook, apesar de não ter cooler, não achei necessário. Não achei difícil regular as pernas, tem os pontos certos. 
A leveza do produto é excelente, mas acredito que traga uma certa fragilidade, portanto deve ser manuseado com a mesma delicadeza que vc manuseia o notebook, não atrapalha. O apoio para o mouse bate na perna, então só fica inclinadinho, e é muito liso o mouse escorrega e cai, me bati muito com isso, agora achei um elástico e coloquei na parte de baixo, que segura o mouse. 
O melhor super em conta, custo benefício excelente!."
