,score,comment
0,5,"A mesa é linda e está sento muuuuito útil pra mim e para o meu esposo. Compramos 2 iguais, na cor snow. Contratamos um montador, pois não temos a parafusadeira, nem experiência em montagem. Requer os cuidados de um móvel em mdf, como é de praxe. Recomendo muito. Compramos também a estante de 1m de altura para colocar a impressora e outras coisinhas. Shooooow!!."
1,4,"A mesa é boa, bastante firme mais perto das extremidades. O espaço que não possui apoio, mais ao meio perto da junção das madeiras não passa a maior confiança mas aguenta bem o peso e apoio durante uso de computador. Recomendo o produto."
2,5,"Mesa linda, resistente e bem grande! estou adorando, realmente vale o que custa, excelente acabamento. Valoriza qualquer ambiente. Fiquei encantada. 
O único problema que encontrei é que podiam enviar a chave de boca necessária. De resto, é maravilhosa mesmo!."
3,5,"Ótimo produto, de fácil montagem e resistente. Passa a confiança de uma mesa que vai durar. 
Existe um manual de montagem oficial no youtube que não é mencionado no produto e facilita bastante a montagem."
4,5,"Excelente! bonita e resistente. Só cuidado que apos montar, se a ficar movendo, vai rachar nos locais dos parafusos, mas aqui a atenção é mais no uso do que no produto."
5,5,"Tampo de madeira e pés em aço pintado de boa qualidade. 
Não há uma impermeabilização ou acabamento da madeira na parte inferior. Apliquei verniz para aumentar a resistência à umidade."
6,5,"Muito bonita e resistente. Fácil de montar, mas requer um pouco de habilidade. Produto de ótima qualidade. Recomendo."
7,4,"Exatamente como na imagem, produto muito bom, supriu minhas necessidades e o pessoal atende muito bem."
8,5,"Relativamente fácil de montar, e mesa super bonita. Realmente da um up no seu home-office."
9,5,Atendeu as minhas expectativas e o achei muito bonito nessa cor que comprei(snow).
10,5,"Fácil de montar, bem bonita, só um pouco frágil, mas atende as expectativas."
11,5,"A mesa é mito bonita, tem um bom acabamento e é bem reforçada."
12,5,"Muito bonita, fico bem legal no ambiente, produto parece ser de excelente qualidade."
13,5,Produto bom e fácil de montar e atendeu minhas expectativas.
14,5,"Produto muito bom, bonito, resistente e de fácil montagem. Recomendo!."
15,5,O produto é excelente!! de fácil montagem e muito bonito!.
16,5,Produto ótimo de boa qualidade de fácil montagem. Amei!.
17,5,"Excelente!! é linda, bem acabada e parece resistente, adoramos!!."
18,5,"Muito boa a mesa, melhor do que pensei."
19,4,Satisfatorio. Um pouco dificil de montar.
20,5,Excelente! amei minha compra.
21,5,Adorei. Super bonita. Perfeita!!!.
22,5,Excelente qualidade fácil montagem.
23,1,"Não gostei, chapa muito fina, amassa com muita facilidade, a lateral da base veio 1 cm. Maior de um lado."
24,5,Armário bem resistente para armazenar itens pesados! o detalhe para os pés que facilitam a limpeza por baixo do produto.
25,5,"Excelente armario, otimo acabamento muito bom mesmo, preço condiz muito com o produto. Recomendo a todos do mercado livre."
26,5,Maravilhoso coloquei na lavanderia com alguns materiais até lata de tinta tem nele.
27,5,"Gostei muito veio todos muito bem embalados  excelente produto. 
Recomendo a todos."
28,5,"Muito bom o produto atendeu as expectativas do cliente final,."
29,5,"Superou minhas expectativas, realmente um excelente produto, me atendeu plenamente."
30,4,"Produto de boa qualidade,bom acabamento ,estou satisfeito recomendo."
31,5,"Muito bom o produto! bem feito, bem acabado. Recomendo."
32,4,"O produto e bom, estou satisfeito com a compra."
33,5,Muito boa estou usando ele de armário de cozinha.
34,5,Armário bem espaçoso e firme atendeu minhas necessidades.
35,5,Muito bom excelente qualidade como imaginavo.
36,4,"Muito bom, era o que esperava."
37,4,"Boa escrivaninha, só que pedi uma gaveta extra e ela veio maior que a outra. Uma pena."
38,5,Otimo produto! bom custo bebeficio! mas as instrucoes deixam muito a desejar!.
39,5,"Facil de montar , qualidade boa e bonita."
40,5,"Muito bom, atendeu minha expectativa!."
41,3,"A mesa em si é bonita. Atende bem a minha necessidade. O material é de qualidade bem ruim, na medida em que se apertam os parafusos vc percebe que o mdf começa a ceder. O gaveteiro que é bastante difícil para montar."
42,5,"Produto com boa qualidade, com bom acabamento, só tive dificuldade na montagem pois o manual é bastante confuso (mas a fabricante possui vídeos ensinando a montar no youtube)."
43,2,"Qualidade muito ruim, porém vondizente com o preço."
44,5,Bom material. Fácil de montar! 100% recomendo.
45,5,Excelente produto. Cumpre exatamente a descrição.
46,5,Excelente produto! montagem simples.
47,2,"Qualidade do aço muito inferior ao padrão do mercado, não é por menos que o preço também está abaixo do que praticam. Mesmo montando corretamente, o armário não se sustenta sem ficar torto. Recomendo parafusar na parede. Nem pense em usar como estante de estoque por que há o risco real da estante cair e acontecer um acidente. Comprei 2 de teste e não comprarei de novo."
48,3,"Produto de baixa qualidade, as chapas vieram com alguns amassados, tanto a chapa quanto as pernas sao fracas e amassam facil, entao depende para que sera usado pois nao suporta muito peso."
49,3,"Parece um pouco frágil , não sei se a estante aguentara um peso de 35kg por prateleira conforme anunciado."
50,5,"Ainda não foi montada,só vou montar no final do mês."
51,5,"Gostei muito, pro que eu queria foi muito bom."
52,5,Poduto muito bom! vale muito a pena comprar!.
53,3,Achei o metal fraco para peso.
54,5,Produto muito bom superou minha espectativa.
55,5,Muito boa. Tamanho e largura ótimos.
56,4,Atendeu as expectativas! muito bom.
57,5,"Muito boa,. 
Material com qualidade."
58,5,"Produto excelente, bem acabado e bonito. Só tive dificuldade na montagem por falta das cavilhas plásticas e dois parafusos que não vieram, mas, consegui adaptar com cavilhas de madeira e parafusos que já tinha."
59,5,Muito boa. Gostei muito. Fácil de montar. Ocupa pouco espaço. E é exatamente como está na foto. Super recomendo.
60,5,"Produto muito bom gostei muito amei ptatico e facil de montar, qualquer um monta, não acupa muito espaço, ideal para quem quer economizar espaço no quarto, na sala etc. Tem boa qualidade nota 10 recomendo."
61,4,"Bom, atende bem. É mdf, então está dentro do esperado."
62,5,"Material muito bom gostei da forma de montagem é muito pratica eu mesmo montei , gostei do fato dela vir com om os pês de plastico sendo assim ela não terá contato direto com com o chão,só um detalhe aquela madeira que fica atras na parte de cima próximo ao teclado tive que parafusá-la mais embaixo por que o monitor do meu computador é fixo  em um suporte articulado com pistão a gás modelo f8on  seria interessante vocês pesquisarem sobre este suporte para entenderem o que vocês precisam fazer para adequá-lo junto a mesa sem que precise fazer o que eu fiz, estes suportes estão vendendo muito caso vocês adeque acredito que esta mesa se tornara perfeita para qualquer consumidor, espero ter ajudado a vocês obrigado."
63,5,"Olha é melhor do que eu esperava, muito bonita, com acabamento perfeito. Material de ótima qualidade. Super indico, adorei a forma como fica tudo organizado nessa mesinha. Nota 10!."
64,5,Gostei em tudo coube a minha cpu deu tudo certo.
65,5,"O produto tem mais qualidade do que eu achei que teria, pensei que fosse feito de um material que fosse até duradouro porem é mais forte ainda. 
É compacto porem abriga bem uma os meus instrumentos de trabalho, sendo assim prova que não é o tamanho que faz a diferença mas sim usar com inteligencia. Ainda no tamanho apenas achei que fosse um pouquinho mais alta mas quanto a isso estou adaptando-me. 
Em resumo geral fiquei mais feliz do que imaginei."
66,4,"Escrivaninha atende ,mas material não é muito bom , como é pra quarto de criança , resolveu o problema. Não é muito facil de montar ,mas com paciencia se consegue."
67,5,Muito bom bem resistente material resiste bem compacta ficou perfeita.
